English_Term,Italian_Translation,Italian_IPA,CEFR_Level,Notes,Tag
tantrum,,,C1,,
tastebud,,,C1,,
taut,,,C1,,
tautly,,,C1,,
taxpayer,,,C1,,
tedious,,,C1,,
tediously,,,C1,,
tedium,,,C1,,
telltale,,,C1,,
temperament,,,C1,,
temperamental,,,C1,,
temperamentally,,,C1,,
tenant,,,C1,,
tenure,,,C1,,
terminate,,,C1,,
terrain,,,C1,,
testament,,,C1,,
texture,,,C1,,
thankfully,,,C1,,
theatrical,,,C1,,
theology,,,C1,,
theoretical,,,C1,,
thereby,,,C1,,
threshold,,,C1,,
thrive,,,C1,,
timber,,,C1,,
timid,,,C1,,
tinker,,,C1,,
tolerance,,,C1,,
torment,,,C1,,
torturous,,,C1,,
toughness,,,C1,,
tract,,,C1,,
trademark,,,C1,,
trampoline,,,C1,,
tranquil,,,C1,,
tranquility,,,C1,,
transaction,,,C1,,
transatlantic,,,C1,,
transfix,,,C1,,
transit,,,C1,,
transparency,,,C1,,
trauma,,,C1,,
traumatic,,,C1,,
tribal,,,C1,,
tribute,,,C1,,
troubled,,,C1,,
trustee,,,C1,,
trying,,,C1,,
tumour,,,C1,,
turmoil,,,C1,,
turn to ,,,C1,,
turnout,,,C1,,
turnover,,,C1,,
twitch,,,C1,,
tycoon,,,C1,,
unassisted,,,C1,,
unconstitutional,,,C1,,
unconventional,,,C1,,
unconvincing,,,C1,,
unconvincingly,,,C1,,
undaunted,,,C1,,
underlying,,,C1,,
undermine,,,C1,,
unenviable,,,C1,,
unenviably,,,C1,,
uneventful,,,C1,,
uniformity,,,C1,,
uninspiring,,,C1,,
unison,,,C1,,
unmanageable,,,C1,,
unmanned,,,C1,,
unmusical,,,C1,,
unmusically,,,C1,,
unoccupied,,,C1,,
unplug,,,C1,,
unprecedented,,,C1,,
unreliably,,,C1,,
unscathing,,,C1,,
unsettle,,,C1,,
unsettling,,,C1,,
unsustainable,,,C1,,
unsustainably,,,C1,,
untangle,,,C1,,
untangled,,,C1,,
unveil,,,C1,,
unwavering,,,C1,,
unwaveringly,,,C1,,
upcoming,,,C1,,
upheaval,,,C1,,
uphold,,,C1,,
utensil,,,C1,,
utilise,,,C1,,
vacuum,,,C1,,
validity,,,C1,,
variable,,,C1,,
vegetation,,,C1,,
venerate,,,C1,,
veneration,,,C1,,
ventilate,,,C1,,
ventilation,,,C1,,
verandah,,,C1,,
verdict,,,C1,,
verify,,,C1,,
versatile,,,C1,,
versatility,,,C1,,
verve,,,C1,,
viable,,,C1,,
vibrant,,,C1,,
vicious,,,C1,,
viciously,,,C1,,
victorious,,,C1,,
victoriously,,,C1,,
violation,,,C1,,
violet,,,C1,,
vitality,,,C1,,
vocal,,,C1,,
voluntarily,,,C1,,
voracious,,,C1,,
voraciously,,,C1,,
vulnerability,,,C1,,
vulnerable,,,C1,,
warehouse,,,C1,,
wares,,,C1,,
warfare,,,C1,,
warrant,,,C1,,
wary,,,C1,,
washtub,,,C1,,
waterfront,,,C1,,
wayside,,,C1,,
well-being,,,C1,,
whatsoever,,,C1,,
whereby,,,C1,,
whilst,,,C1,,
wholly,,,C1,,
wicked,,,C1,,
wickedly,,,C1,,
withdrawn,,,C1,,
wizened,,,C1,,
woo,,,C1,,
wooded,,,C1,,
wrangle,,,C1,,
wrench,,,C1,,
wry,,,C1,,
wryly,,,C1,,
zany,,,C1,,
