term,votes,chosen,confidence,margin
rating,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.state"", ""verb.communication"", ""verb.contact"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional""], ""vote_detail"": null}",Grammar,,
raw,"{""wordnet_lexnames"": [""adj.all"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
ray,"{""wordnet_lexnames"": [""noun.animal"", ""noun.communication"", ""noun.phenomenon"", ""noun.plant"", ""noun.shape"", ""verb.change"", ""verb.stative"", ""verb.weather""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Social""], ""vote_detail"": null}",Social,,
reach,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.cognition"", ""noun.location"", ""verb.communication"", ""verb.competition"", ""verb.contact"", ""verb.motion"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Grammar,,
react,"{""wordnet_lexnames"": [""verb.change"", ""verb.cognition"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
realize,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.creation"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
realize,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.creation"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
receipt,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""verb.cognition"", ""verb.communication""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
receive,"{""wordnet_lexnames"": [""verb.change"", ""verb.cognition"", ""verb.communication"", ""verb.consumption"", ""verb.contact"", ""verb.perception"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Professional""], ""vote_detail"": null}",Food,,
recent,"{""wordnet_lexnames"": [""adj.all"", ""noun.time""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
recently,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
reception,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.group""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
receptionist,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
recipe,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
recognise,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.communication"", ""verb.perception"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
record,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.possession"", ""noun.quantity"", ""verb.cognition"", ""verb.communication"", ""verb.perception""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
recording,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.cognition"", ""verb.communication"", ""verb.perception""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
recycle,"{""wordnet_lexnames"": [""verb.consumption"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Food"", ""Travel""], ""vote_detail"": null}",Food,,
reduce,"{""wordnet_lexnames"": [""verb.body"", ""verb.change"", ""verb.contact"", ""verb.emotion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Professional""], ""vote_detail"": null}",Professional,,
refer,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.communication"", ""verb.motion"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
refrigerator,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
refuse,"{""wordnet_lexnames"": [""noun.substance"", ""verb.communication"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
region,"{""wordnet_lexnames"": [""noun.body"", ""noun.cognition"", ""noun.location"", ""noun.quantity""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Time & Quantity,,
regular,"{""wordnet_lexnames"": [""adj.all"", ""noun.attribute"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
regularly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
relationship,"{""wordnet_lexnames"": [""noun.relation"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Health"", ""Social""], ""vote_detail"": null}",Social,,
relaxed,"{""wordnet_lexnames"": [""adj.all"", ""verb.body"", ""verb.change"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Health"", ""Professional""], ""vote_detail"": null}",Grammar,,
release,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.event"", ""noun.process"", ""verb.body"", ""verb.change"", ""verb.communication"", ""verb.contact"", ""verb.creation"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
remain,"{""wordnet_lexnames"": [""verb.change"", ""verb.stative""], ""mapped_categories"": [], ""vote_detail"": {""Food"": 2, ""Time & Quantity"": 1, ""Travel"": 2}}",Food,0.4,0.0
remote,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
remove,"{""wordnet_lexnames"": [""noun.attribute"", ""verb.change"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
rent,"{""wordnet_lexnames"": [""noun.act"", ""noun.object"", ""noun.possession"", ""verb.contact"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping""], ""vote_detail"": null}",Shopping,,
repair,"{""wordnet_lexnames"": [""noun.act"", ""noun.location"", ""noun.state"", ""verb.body"", ""verb.change"", ""verb.motion"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
replace,"{""wordnet_lexnames"": [""verb.change"", ""verb.contact"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
reply,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
represent,"{""wordnet_lexnames"": [""verb.change"", ""verb.communication"", ""verb.creation"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Professional""], ""vote_detail"": null}",Food,,
request,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
research,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""verb.cognition"", ""verb.communication""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
researcher,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
response,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.communication"", ""noun.phenomenon""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Social""], ""vote_detail"": null}",Social,,
rest,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.relation"", ""noun.state"", ""noun.time"", ""verb.body"", ""verb.change"", ""verb.communication"", ""verb.contact"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
retire,"{""wordnet_lexnames"": [""verb.body"", ""verb.competition"", ""verb.contact"", ""verb.emotion"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
retired,"{""wordnet_lexnames"": [""adj.all"", ""verb.body"", ""verb.competition"", ""verb.contact"", ""verb.emotion"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Travel""], ""vote_detail"": null}",Grammar,,
reunion,"{""wordnet_lexnames"": [""noun.act"", ""noun.group""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
rhythm,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.communication"", ""noun.time""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
right-hand,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
rise,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.event"", ""noun.object"", ""verb.body"", ""verb.change"", ""verb.competition"", ""verb.emotion"", ""verb.motion"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Health"", ""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
roast,"{""wordnet_lexnames"": [""adj.all"", ""noun.cognition"", ""noun.food"", ""verb.change"", ""verb.communication""], ""mapped_categories"": [""Abstract"", ""Food"", ""Grammar""], ""vote_detail"": null}",Food,,
rock,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.food"", ""noun.object"", ""noun.person"", ""noun.substance"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
roll,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.event"", ""noun.food"", ""noun.possession"", ""noun.shape"", ""verb.body"", ""verb.change"", ""verb.communication"", ""verb.contact"", ""verb.motion"", ""verb.perception"", ""verb.possession"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
romance,"{""wordnet_lexnames"": [""adj.pert"", ""noun.attribute"", ""noun.communication"", ""noun.state"", ""verb.communication"", ""verb.emotion"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
romantic,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
roof,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.object"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
root,"{""wordnet_lexnames"": [""noun.body"", ""noun.communication"", ""noun.group"", ""noun.location"", ""noun.person"", ""noun.plant"", ""noun.quantity"", ""verb.change"", ""verb.contact"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
rope,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
roughly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
round,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.food"", ""noun.location"", ""noun.object"", ""noun.time"", ""verb.body"", ""verb.change"", ""verb.communication"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
roundabout,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
route,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.location"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
royal,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.animal"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
rubbish,"{""wordnet_lexnames"": [""noun.communication"", ""noun.substance"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
ruin,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.event"", ""noun.process"", ""noun.state"", ""verb.change"", ""verb.contact"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
rumor,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
runner,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact"", ""noun.person"", ""noun.plant""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
running,"{""wordnet_lexnames"": [""adj.all"", ""noun.act"", ""noun.state"", ""verb.change"", ""verb.competition"", ""verb.contact"", ""verb.creation"", ""verb.motion"", ""verb.possession"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional"", ""Travel""], ""vote_detail"": null}",Food,,
rush,"{""wordnet_lexnames"": [""adj.all"", ""noun.act"", ""noun.event"", ""noun.feeling"", ""noun.person"", ""noun.plant"", ""verb.change"", ""verb.competition"", ""verb.creation"", ""verb.motion""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
sadly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
safe,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
sail,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
sailing,"{""wordnet_lexnames"": [""noun.act"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
sake,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.cognition"", ""noun.food""], ""mapped_categories"": [""Abstract"", ""Food"", ""Grammar""], ""vote_detail"": null}",Food,,
sample,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.object"", ""verb.consumption""], ""mapped_categories"": [""Abstract"", ""Food"", ""Grammar"", ""Home""], ""vote_detail"": null}",Food,,
sandy,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
satisfy,"{""wordnet_lexnames"": [""verb.consumption"", ""verb.emotion"", ""verb.stative""], ""mapped_categories"": [""Emotions"", ""Food""], ""vote_detail"": null}",Food,,
sauce,"{""wordnet_lexnames"": [""noun.food"", ""verb.change"", ""verb.contact"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Food"", ""Professional""], ""vote_detail"": null}",Food,,
sausage,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.food""], ""mapped_categories"": [""Food"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
scale,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact"", ""noun.communication"", ""noun.object"", ""noun.plant"", ""noun.relation"", ""verb.change"", ""verb.contact"", ""verb.creation"", ""verb.motion"", ""verb.possession"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
scared,"{""wordnet_lexnames"": [""adj.all"", ""verb.contact""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
scarf,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.body"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
scary,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
scene,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.cognition"", ""noun.communication"", ""noun.event"", ""noun.location"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
scenery,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
schedule,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication"", ""verb.cognition"", ""verb.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
schoolchild,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
scientific,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
scissors,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
score,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.communication"", ""noun.feeling"", ""noun.group"", ""noun.motive"", ""noun.quantity"", ""noun.shape"", ""noun.state"", ""verb.cognition"", ""verb.communication"", ""verb.competition"", ""verb.contact"", ""verb.creation""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
scream,"{""wordnet_lexnames"": [""noun.communication"", ""noun.event"", ""verb.communication"", ""verb.perception""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
screen,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.group"", ""verb.cognition"", ""verb.competition"", ""verb.contact"", ""verb.perception"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
screw,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.person"", ""verb.competition"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
script,"{""wordnet_lexnames"": [""noun.communication"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
search,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.process"", ""verb.cognition"", ""verb.contact"", ""verb.perception""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
second,"{""wordnet_lexnames"": [""adj.all"", ""adv.all"", ""noun.act"", ""noun.artifact"", ""noun.communication"", ""noun.person"", ""noun.quantity"", ""noun.relation"", ""noun.time"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
secondly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
secret,"{""wordnet_lexnames"": [""adj.all"", ""noun.cognition"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
secretary,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.person""], ""mapped_categories"": [""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
seed,"{""wordnet_lexnames"": [""noun.body"", ""noun.cognition"", ""noun.person"", ""noun.plant"", ""verb.change"", ""verb.cognition"", ""verb.contact"", ""verb.creation"", ""verb.possession""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
seek,"{""wordnet_lexnames"": [""noun.event"", ""verb.communication"", ""verb.contact"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
senior,"{""wordnet_lexnames"": [""adj.all"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
sense,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication"", ""verb.cognition"", ""verb.perception""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
separate,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact"", ""noun.communication"", ""verb.change"", ""verb.cognition"", ""verb.contact"", ""verb.motion"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
series,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication"", ""noun.event"", ""noun.group"", ""noun.relation""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
serious,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
seriously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
serve,"{""wordnet_lexnames"": [""noun.act"", ""verb.competition"", ""verb.consumption"", ""verb.contact"", ""verb.social"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Food"", ""Professional""], ""vote_detail"": null}",Food,,
service,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.attribute"", ""noun.group"", ""noun.person"", ""verb.change"", ""verb.contact"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
several,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
sew,"{""wordnet_lexnames"": [""verb.contact"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
shade,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.attribute"", ""noun.cognition"", ""noun.communication"", ""noun.quantity"", ""noun.state"", ""verb.change"", ""verb.contact"", ""verb.creation"", ""verb.weather""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Home"", ""Shopping"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
shadow,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.cognition"", ""noun.communication"", ""noun.feeling"", ""noun.location"", ""noun.person"", ""noun.state"", ""verb.motion"", ""verb.stative"", ""verb.weather""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Home"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
shampoo,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.body""], ""mapped_categories"": [""Activities"", ""Health"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
shape,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.body"", ""noun.cognition"", ""noun.group"", ""noun.state"", ""noun.tops"", ""verb.change"", ""verb.cognition"", ""verb.creation""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Food"", ""Grammar"", ""Health"", ""Professional""], ""vote_detail"": null}",Food,,
sheet,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.object"", ""noun.shape"", ""verb.contact"", ""verb.weather""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
shell,"{""wordnet_lexnames"": [""noun.animal"", ""noun.artifact"", ""noun.object"", ""noun.plant"", ""noun.substance"", ""verb.change"", ""verb.competition"", ""verb.contact"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Food,,
shine,"{""wordnet_lexnames"": [""noun.attribute"", ""verb.contact"", ""verb.emotion"", ""verb.perception"", ""verb.stative"", ""verb.weather""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions""], ""vote_detail"": null}",Emotions,,
shock,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""noun.event"", ""noun.feeling"", ""noun.group"", ""noun.state"", ""verb.body"", ""verb.contact"", ""verb.emotion""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Home"", ""Professional"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
