English_Term,Translation,English_Sentence,Sentence_Translation,IPA,CEFR_Level,Tags,Notes
upstairs,,,,,a1,,
us,,,,,a1,,
use,,,,,a1,,
useful,,,,,a1,,
usually,,,,,a1,,
vacation,,,,,a1,,
vase,,,,,a1,,
vegetable,,,,,a1,,
very,,,,,a1,,
video,,,,,a1,,
village,,,,,a1,,
visit,,,,,a1,,
visitor,,,,,a1,,
volleyball,,,,,a1,,
vote,,,,,a1,,
wait,,,,,a1,,
waiter,,,,,a1,,
waitress,,,,,a1,,
wake,,,,,a1,,
walk,,,,,a1,,
wall,,,,,a1,,
want,,,,,a1,,
war,,,,,a1,,
warm,,,,,a1,,
was,,,,,a1,,
wash,,,,,a1,,
watch,,,,,a1,,
water,,,,,a1,,
way,,,,,a1,,
we,,,,,a1,,
wear,,,,,a1,,
weather,,,,,a1,,
website,,,,,a1,,
week,,,,,a1,,
weekend,,,,,a1,,
welcome,,,,,a1,,
well,,,,,a1,,
were,,,,,a1,,
west,,,,,a1,,
what,,,,,a1,,
wheel,,,,,a1,,
when,,,,,a1,,
where,,,,,a1,,
which,,,,,a1,,
white,,,,,a1,,
who,,,,,a1,,
whose,,,,,a1,,
why,,,,,a1,,
wife,,,,,a1,,
will,,,,,a1,,
win,,,,,a1,,
wind,,,,,a1,,
window,,,,,a1,,
wine,,,,,a1,,
winter,,,,,a1,,
wish,,,,,a1,,
with,,,,,a1,,
without,,,,,a1,,
woman,,,,,a1,,
wonderful,,,,,a1,,
word,,,,,a1,,
work,,,,,a1,,
worker,,,,,a1,,
world,,,,,a1,,
worry,,,,,a1,,
would,,,,,a1,,
write,,,,,a1,,
writer,,,,,a1,,
writing,,,,,a1,,
wrong,,,,,a1,,
yard,,,,,a1,,
yeah,,,,,a1,,
year,,,,,a1,,
yellow,,,,,a1,,
yes,,,,,a1,,
yesterday,,,,,a1,,
yet,,,,,a1,,
yogurt,,,,,a1,,
you,,,,,a1,,
young,,,,,a1,,
your,,,,,a1,,
yours,,,,,a1,,
yourself,,,,,a1,,
zoo,,,,,a1,,
id,,,,,a2,,
id,,,,,a2,,
it,,,,,a2,,
mp3,,,,,a2,,
ms.,,,,,a2,,
olympic,,,,,a2,,
pc,,,,,a2,,
ability,,,,,a2,,
able,,,,,a2,,
abroad,,,,,a2,,
accept,,,,,a2,,
acceptable,,,,,a2,,
accident,,,,,a2,,
according,,,,,a2,,
account,,,,,a2,,
achieve,,,,,a2,,
act,,,,,a2,,
active,,,,,a2,,
actually,,,,,a2,,
addition,,,,,a2,,
additional,,,,,a2,,
adjective,,,,,a2,,
adjust,,,,,a2,,
admire,,,,,a2,,
admit,,,,,a2,,
advanced,,,,,a2,,
advantage,,,,,a2,,
adventure,,,,,a2,,
advertise,,,,,a2,,
advertisement,,,,,a2,,
advertising,,,,,a2,,
advise,,,,,a2,,
affair,,,,,a2,,
affect,,,,,a2,,
against,,,,,a2,,
aged,,,,,a2,,
agency,,,,,a2,,
agent,,,,,a2,,
ah,,,,,a2,,
ahead,,,,,a2,,
airline,,,,,a2,,
aisle,,,,,a2,,
alarm,,,,,a2,,
alarm,,,,,a2,,
alive,,,,,a2,,
allow,,,,,a2,,
alright,,,,,a2,,
alternative,,,,,a2,,
although,,,,,a2,,
ambition,,,,,a2,,
among,,,,,a2,,
amount,,,,,a2,,
amused,,,,,a2,,
amusement,,,,,a2,,
ancestor,,,,,a2,,
ancient,,,,,a2,,
angel,,,,,a2,,
angrily,,,,,a2,,
ankle,,,,,a2,,
anniversary,,,,,a2,,
annoy,,,,,a2,,
annoying,,,,,a2,,
anxious,,,,,a2,,
any,,,,,a2,,
anymore,,,,,a2,,
anyway,,,,,a2,,
anywhere,,,,,a2,,
apart,,,,,a2,,
apologize,,,,,a2,,
app,,,,,a2,,
apparently,,,,,a2,,
appear,,,,,a2,,
appearance,,,,,a2,,
apply,,,,,a2,,
appointment,,,,,a2,,
appreciate,,,,,a2,,
appropriate,,,,,a2,,
architect,,,,,a2,,
architecture,,,,,a2,,
argue,,,,,a2,,
argument,,,,,a2,,
armchair,,,,,a2,,
armed,,,,,a2,,
army,,,,,a2,,
arrange,,,,,a2,,
arrangement,,,,,a2,,
artificial,,,,,a2,,
asleep,,,,,a2,,
assistant,,,,,a2,,
association,,,,,a2,,
astronaut,,,,,a2,,
athlete,,,,,a2,,
atom,,,,,a2,,
attack,,,,,a2,,
attempt,,,,,a2,,
attend,,,,,a2,,
attention,,,,,a2,,
attitude,,,,,a2,,
attractive,,,,,a2,,
audience,,,,,a2,,
audio,,,,,a2,,
author,,,,,a2,,
automatic,,,,,a2,,
automatically,,,,,a2,,
available,,,,,a2,,
average,,,,,a2,,
avoid,,,,,a2,,
award,,,,,a2,,
awful,,,,,a2,,
background,,,,,a2,,
badly,,,,,a2,,
badminton,,,,,a2,,
bake,,,,,a2,,
balcony,,,,,a2,,
balloon,,,,,a2,,
banking,,,,,a2,,
barbecue,,,,,a2,,
barber,,,,,a2,,
bargain,,,,,a2,,
base,,,,,a2,,
based,,,,,a2,,
basic,,,,,a2,,
basically,,,,,a2,,
basket,,,,,a2,,
batch,,,,,a2,,
battery,,,,,a2,,
bay,,,,,a2,,
bear,,,,,a2,,
beat,,,,,a2,,
beauty,,,,,a2,,
been,,,,,a2,,
beg,,,,,a2,,
beginner,,,,,a2,,
behave,,,,,a2,,
behavior,,,,,a2,,
behaviour,,,,,a2,,
being,,,,,a2,,
belly,,,,,a2,,
belong,,,,,a2,,
belt,,,,,a2,,
bench,,,,,a2,,
bend,,,,,a2,,
benefit,,,,,a2,,
besides,,,,,a2,,
beyond,,,,,a2,,
billion,,,,,a2,,
bin,,,,,a2,,
biology,,,,,a2,,
bit,,,,,a2,,
bite,,,,,a2,,
blackboard,,,,,a2,,
blame,,,,,a2,,
blanket,,,,,a2,,
blood,,,,,a2,,
bloom,,,,,a2,,
board,,,,,a2,,
boil,,,,,a2,,
boiled,,,,,a2,,
bonus,,,,,a2,,
bookcase,,,,,a2,,
bookshelf,,,,,a2,,
bookshop,,,,,a2,,
boss,,,,,a2,,
bother,,,,,a2,,
bra,,,,,a2,,
brainstorm,,,,,a2,,
brake,,,,,a2,,
branch,,,,,a2,,
brand,,,,,a2,,
brave,,,,,a2,,
breeze,,,,,a2,,
bride,,,,,a2,,
brilliant,,,,,a2,,
budget,,,,,a2,,
bug,,,,,a2,,
bulb,,,,,a2,,
burn,,,,,a2,,
bury,,,,,a2,,
bus,,,,,a2,,
bus,,,,,a2,,
bush,,,,,a2,,
businessman,,,,,a2,,
businesswoman,,,,,a2,,
cab,,,,,a2,,
cafeteria,,,,,a2,,
calendar,,,,,a2,,
camping,,,,,a2,,
campus,,,,,a2,,
capital,,,,,a2,,
captain,,,,,a2,,
car,,,,,a2,,
carpet,,,,,a2,,
cash,,,,,a2,,
cassette,,,,,a2,,
castle,,,,,a2,,
cause,,,,,a2,,
celebrity,,,,,a2,,
center,,,,,a2,,
centimeter,,,,,a2,,
cereal,,,,,a2,,
certain,,,,,a2,,
certainly,,,,,a2,,
chain,,,,,a2,,
chairman,,,,,a2,,
challenge,,,,,a2,,
champagne,,,,,a2,,
championship,,,,,a2,,
chance,,,,,a2,,
chapter,,,,,a2,,
charity,,,,,a2,,
chat,,,,,a2,,
cheek,,,,,a2,,
cheer,,,,,a2,,
chef,,,,,a2,,
chemical,,,,,a2,,
chemistry,,,,,a2,,
cheque,,,,,a2,,
chess,,,,,a2,,
chest,,,,,a2,,
childhood,,,,,a2,,
chili,,,,,a2,,
chimpanzee,,,,,a2,,
chin,,,,,a2,,
chip,,,,,a2,,
chirp,,,,,a2,,
choice,,,,,a2,,
cigarette,,,,,a2,,
citizen,,,,,a2,,
claim,,,,,a2,,
classic,,,,,a2,,
classical,,,,,a2,,
classical,,,,,a2,,
cleaner,,,,,a2,,
clear,,,,,a2,,
clearly,,,,,a2,,
clerk,,,,,a2,,
click,,,,,a2,,
climate,,,,,a2,,
climbing,,,,,a2,,
clone,,,,,a2,,
clothing,,,,,a2,,
clown,,,,,a2,,
clue,,,,,a2,,
coast,,,,,a2,,
coin,,,,,a2,,
cola,,,,,a2,,
colleague,,,,,a2,,
colorful,,,,,a2,,
column,,,,,a2,,
comb,,,,,a2,,
comedy,,,,,a2,,
comfortable,,,,,a2,,
comic,,,,,a2,,
comment,,,,,a2,,
commitment,,,,,a2,,
committee,,,,,a2,,
communicate,,,,,a2,,
communication,,,,,a2,,
community,,,,,a2,,
comparative,,,,,a2,,
compete,,,,,a2,,
competition,,,,,a2,,
complain,,,,,a2,,
complaint,,,,,a2,,
completely,,,,,a2,,
composer,,,,,a2,,
concentrate,,,,,a2,,
concern,,,,,a2,,
condition,,,,,a2,,
conference,,,,,a2,,
confident,,,,,a2,,
confuse,,,,,a2,,
confused,,,,,a2,,
connect,,,,,a2,,
connected,,,,,a2,,
consequence,,,,,a2,,
consider,,,,,a2,,
consist,,,,,a2,,
contact,,,,,a2,,
contain,,,,,a2,,
container,,,,,a2,,
context,,,,,a2,,
continent,,,,,a2,,
continue,,,,,a2,,
contrast,,,,,a2,,
control,,,,,a2,,
convenience,,,,,a2,,
convenient,,,,,a2,,
cooker,,,,,a2,,
cooler,,,,,a2,,
correctly,,,,,a2,,
count,,,,,a2,,
countryside,,,,,a2,,
couple,,,,,a2,,
court,,,,,a2,,
crazy,,,,,a2,,
creative,,,,,a2,,
creativity,,,,,a2,,
creature,,,,,a2,,
credit,,,,,a2,,
cricket,,,,,a2,,
crime,,,,,a2,,
criminal,,,,,a2,,
crisp,,,,,a2,,
criticize,,,,,a2,,
cross,,,,,a2,,
crowd,,,,,a2,,
crowded,,,,,a2,,
crown,,,,,a2,,
cruise,,,,,a2,,
cupboard,,,,,a2,,
curly,,,,,a2,,
curry,,,,,a2,,
curse,,,,,a2,,
custom,,,,,a2,,
cycle,,,,,a2,,
cycling,,,,,a2,,
daily,,,,,a2,,
dam,,,,,a2,,
danger,,,,,a2,,
data,,,,,a2,,
daylight,,,,,a2,,
dead,,,,,a2,,
deal,,,,,a2,,
death,,,,,a2,,
debate,,,,,a2,,
decision,,,,,a2,,
deep,,,,,a2,,
deeply,,,,,a2,,
definitely,,,,,a2,,
degree,,,,,a2,,
delay,,,,,a2,,
dentist,,,,,a2,,
department,,,,,a2,,
department,,,,,a2,,
depend,,,,,a2,,
desert,,,,,a2,,
designer,,,,,a2,,
dessert,,,,,a2,,
destroy,,,,,a2,,
detective,,,,,a2,,
develop,,,,,a2,,
developed,,,,,a2,,
device,,,,,a2,,
diamond,,,,,a2,,
diary,,,,,a2,,
differently,,,,,a2,,
difficulty,,,,,a2,,
digital,,,,,a2,,
digital,,,,,a2,,
dinosaur,,,,,a2,,
direct,,,,,a2,,
direction,,,,,a2,,
director,,,,,a2,,
disadvantage,,,,,a2,,
disagree,,,,,a2,,
disappear,,,,,a2,,
disappointed,,,,,a2,,
disappointing,,,,,a2,,
disaster,,,,,a2,,
disco,,,,,a2,,
discover,,,,,a2,,
discovery,,,,,a2,,
discussion,,,,,a2,,
disease,,,,,a2,,
dishonest,,,,,a2,,
dislike,,,,,a2,,
display,,,,,a2,,
distance,,,,,a2,,
disturb,,,,,a2,,
divide,,,,,a2,,
divorced,,,,,a2,,
dizzy,,,,,a2,,
document,,,,,a2,,
done,,,,,a2,,
double,,,,,a2,,
doubt,,,,,a2,,
download,,,,,a2,,
downtown,,,,,a2,,
drawer,,,,,a2,,
drawing,,,,,a2,,
dressed,,,,,a2,,
drill,,,,,a2,,
driver's,,,,,a2,,
driving,,,,,a2,,
drug,,,,,a2,,
drugstore,,,,,a2,,
duck,,,,,a2,,
dust,,,,,a2,,
earn,,,,,a2,,
earring,,,,,a2,,
earth,,,,,a2,,
earthquake,,,,,a2,,
easily,,,,,a2,,
editor,,,,,a2,,
education,,,,,a2,,
educational,,,,,a2,,
effect,,,,,a2,,
effort,,,,,a2,,
elderly,,,,,a2,,
electric,,,,,a2,,
electrical,,,,,a2,,
electricity,,,,,a2,,
electronic,,,,,a2,,
elevator,,,,,a2,,
elsewhere,,,,,a2,,
embarrassing,,,,,a2,,
emergency,,,,,a2,,
employ,,,,,a2,,
employee,,,,,a2,,
employer,,,,,a2,,
empty,,,,,a2,,
encourage,,,,,a2,,
endangered,,,,,a2,,
ending,,,,,a2,,
energetic,,,,,a2,,
energy,,,,,a2,,
engine,,,,,a2,,
enormous,,,,,a2,,
enter,,,,,a2,,
entertainment,,,,,a2,,
entrance,,,,,a2,,
envelope,,,,,a2,,
environment,,,,,a2,,
envy,,,,,a2,,
episode,,,,,a2,,
equipment,,,,,a2,,
error,,,,,a2,,
escalator,,,,,a2,,
escape,,,,,a2,,
especially,,,,,a2,,
essay,,,,,a2,,
establish,,,,,a2,,
evidence,,,,,a2,,
exact,,,,,a2,,
exactly,,,,,a2,,
except,,,,,a2,,
exchange,,,,,a2,,
exhibition,,,,,a2,,
exist,,,,,a2,,
expect,,,,,a2,,
experience,,,,,a2,,
experiment,,,,,a2,,
expert,,,,,a2,,
explanation,,,,,a2,,
explore,,,,,a2,,
express,,,,,a2,,
expression,,,,,a2,,
extreme,,,,,a2,,
extremely,,,,,a2,,
factor,,,,,a2,,
fail,,,,,a2,,
fairly,,,,,a2,,
familiar,,,,,a2,,
fancy,,,,,a2,,
fare,,,,,a2,,
farming,,,,,a2,,
fascinating,,,,,a2,,
fashion,,,,,a2,,
fast,,,,,a2,,
fault,,,,,a2,,
favor,,,,,a2,,
fear,,,,,a2,,
feather,,,,,a2,,
feature,,,,,a2,,
fee,,,,,a2,,
female,,,,,a2,,
fence,,,,,a2,,
fiction,,,,,a2,,
fighter,,,,,a2,,
figure,,,,,a2,,
finally,,,,,a2,,
finger,,,,,a2,,
first,,,,,a2,,
firstly,,,,,a2,,
fisherman,,,,,a2,,
fit,,,,,a2,,
fix,,,,,a2,,
flea,,,,,a2,,
float,,,,,a2,,
flood,,,,,a2,,
flour,,,,,a2,,
flu,,,,,a2,,
flying,,,,,a2,,
fog,,,,,a2,,
folder,,,,,a2,,
fool,,,,,a2,,
footballer,,,,,a2,,
forbid,,,,,a2,,
force,,,,,a2,,
forest,,,,,a2,,
forever,,,,,a2,,
fork,,,,,a2,,
formal,,,,,a2,,
fortunately,,,,,a2,,
fortune,,,,,a2,,
forward,,,,,a2,,
frame,,,,,a2,,
frank,,,,,a2,,
freedom,,,,,a2,,
freeze,,,,,a2,,
fresh,,,,,a2,,
fridge,,,,,a2,,
fried,,,,,a2,,
friendship,,,,,a2,,
frighten,,,,,a2,,
frightened,,,,,a2,,
frightening,,,,,a2,,
fry,,,,,a2,,
fully,,,,,a2,,
function,,,,,a2,,
furniture,,,,,a2,,
further,,,,,a2,,
gallery,,,,,a2,,
gap,,,,,a2,,
garage,,,,,a2,,
garlic,,,,,a2,,
gas,,,,,a2,,
gate,,,,,a2,,
gather,,,,,a2,,
gender,,,,,a2,,
general,,,,,a2,,
generation,,,,,a2,,
gentle,,,,,a2,,
given,,,,,a2,,
globe,,,,,a2,,
glove,,,,,a2,,
god,,,,,a2,,
golden,,,,,a2,,
golf,,,,,a2,,
good-looking,,,,,a2,,
government,,,,,a2,,
grace,,,,,a2,,
gradually,,,,,a2,,
graduate,,,,,a2,,
gram,,,,,a2,,
grandchild,,,,,a2,,
granddad,,,,,a2,,
granddaughter,,,,,a2,,
grandson,,,,,a2,,
granny,,,,,a2,,
grateful,,,,,a2,,
greatly,,,,,a2,,
greedy,,,,,a2,,
grilled,,,,,a2,,
grocery,,,,,a2,,
guard,,,,,a2,,
guide,,,,,a2,,
guidebook,,,,,a2,,
gun,,,,,a2,,
half-price,,,,,a2,,
ham,,,,,a2,,
handbag,,,,,a2,,
handicapped,,,,,a2,,
handle,,,,,a2,,
happily,,,,,a2,,
happiness,,,,,a2,,
hardly,,,,,a2,,
harm,,,,,a2,,
harmful,,,,,a2,,
harmony,,,,,a2,,
harvest,,,,,a2,,
headphone,,,,,a2,,
headteacher,,,,,a2,,
heat,,,,,a2,,
heating,,,,,a2,,
heavily,,,,,a2,,
height,,,,,a2,,
helpful,,,,,a2,,
hero,,,,,a2,,
herself,,,,,a2,,
high,,,,,a2,,
highway,,,,,a2,,
hike,,,,,a2,,
hiking,,,,,a2,,
himself,,,,,a2,,
hip-hop,,,,,a2,,
hit,,,,,a2,,
hockey,,,,,a2,,
honey,,,,,a2,,
honor,,,,,a2,,
horror,,,,,a2,,
host,,,,,a2,,
hug,,,,,a2,,
huge,,,,,a2,,
human,,,,,a2,,
hunter,,,,,a2,,
identify,,,,,a2,,
ill,,,,,a2,,
illegal,,,,,a2,,
illness,,,,,a2,,
image,,,,,a2,,
imagination,,,,,a2,,
immediately,,,,,a2,,
impact,,,,,a2,,
impatient,,,,,a2,,
importance,,,,,a2,,
importantly,,,,,a2,,
impossible,,,,,a2,,
impress,,,,,a2,,
inch,,,,,a2,,
included,,,,,a2,,
including,,,,,a2,,
increase,,,,,a2,,
incredible,,,,,a2,,
indeed,,,,,a2,,
independence,,,,,a2,,
independent,,,,,a2,,
indicate,,,,,a2,,
individual,,,,,a2,,
indoor,,,,,a2,,
industry,,,,,a2,,
inexpensive,,,,,a2,,
influence,,,,,a2,,
informal,,,,,a2,,
injure,,,,,a2,,
injury,,,,,a2,,
inner,,,,,a2,,
insect,,,,,a2,,
inspiration,,,,,a2,,
instant,,,,,a2,,
instead,,,,,a2,,
instruction,,,,,a2,,
instructor,,,,,a2,,
instrument,,,,,a2,,
intelligence,,,,,a2,,
intelligent,,,,,a2,,
international,,,,,a2,,
introduction,,,,,a2,,
invade,,,,,a2,,
invent,,,,,a2,,
invention,,,,,a2,,
invitation,,,,,a2,,
invite,,,,,a2,,
involve,,,,,a2,,
issue,,,,,a2,,
itself,,,,,a2,,
jam,,,,,a2,,
jazz,,,,,a2,,
jelly,,,,,a2,,
jewellery,,,,,a2,,
joke,,,,,a2,,
journalist,,,,,a2,,
joy,,,,,a2,,
junior,,,,,a2,,
junk,,,,,a2,,
killer,,,,,a2,,
kilo,,,,,a2,,
kilogram,,,,,a2,,
kilometer,,,,,a2,,
kindly,,,,,a2,,
kingdom,,,,,a2,,
kit,,,,,a2,,
knock,,,,,a2,,
knowledge,,,,,a2,,
lab,,,,,a2,,
labor,,,,,a2,,
lack,,,,,a2,,
lake,,,,,a2,,
lamp,,,,,a2,,
landscape,,,,,a2,,
lane,,,,,a2,,
laptop,,,,,a2,,
last,,,,,a2,,
latest,,,,,a2,,
latter,,,,,a2,,
laughter,,,,,a2,,
law,,,,,a2,,
lawyer,,,,,a2,,
laziness,,,,,a2,,
lead,,,,,a2,,
learner,,,,,a2,,
learning,,,,,a2,,
least,,,,,a2,,
leather,,,,,a2,,
lecture,,,,,a2,,
left-hand,,,,,a2,,
leisure,,,,,a2,,
lemon,,,,,a2,,
lemonade,,,,,a2,,
lend,,,,,a2,,
less,,,,,a2,,
level,,,,,a2,,
liberty,,,,,a2,,
license,,,,,a2,,
lifestyle,,,,,a2,,
lift,,,,,a2,,
light,,,,,a2,,
light,,,,,a2,,
likely,,,,,a2,,
link,,,,,a2,,
lip,,,,,a2,,
listener,,,,,a2,,
liter,,,,,a2,,
lively,,,,,a2,,
load,,,,,a2,,
lock,,,,,a2,,
logical,,,,,a2,,
loose,,,,,a2,,
lorry,,,,,a2,,
lost,,,,,a2,,
loud,,,,,a2,,
loudly,,,,,a2,,
lover,,,,,a2,,
low,,,,,a2,,
luckily,,,,,a2,,
lunchtime,,,,,a2,,
lyric,,,,,a2,,
mad,,,,,a2,,
magic,,,,,a2,,
main,,,,,a2,,
mainly,,,,,a2,,
major,,,,,a2,,
make-up,,,,,a2,,
maker,,,,,a2,,
male,,,,,a2,,
mall,,,,,a2,,
manage,,,,,a2,,
manager,,,,,a2,,
manner,,,,,a2,,
mark,,,,,a2,,
marry,,,,,a2,,
marvelous,,,,,a2,,
material,,,,,a2,,
mathematics,,,,,a2,,
maths,,,,,a2,,
max,,,,,a2,,
may,,,,,a2,,
medal,,,,,a2,,
media,,,,,a2,,
medical,,,,,a2,,
melon,,,,,a2,,
mention,,,,,a2,,
metal,,,,,a2,,
meter,,,,,a2,,
method,,,,,a2,,
midday,,,,,a2,,
might,,,,,a2,,
military,,,,,a2,,
mine,,,,,a2,,
mineral,,,,,a2,,
mirror,,,,,a2,,
missing,,,,,a2,,
mix,,,,,a2,,
mood,,,,,a2,,
mosque,,,,,a2,,
mostly,,,,,a2,,
motorcycle,,,,,a2,,
motorway,,,,,a2,,
movement,,,,,a2,,
mug,,,,,a2,,
murder,,,,,a2,,
mushroom,,,,,a2,,
musical,,,,,a2,,
myself,,,,,a2,,
mysterious,,,,,a2,,
mystery,,,,,a2,,
napkin,,,,,a2,,
narrow,,,,,a2,,
nation,,,,,a2,,
national,,,,,a2,,
native,,,,,a2,,
nature,,,,,a2,,
nearly,,,,,a2,,
necessary,,,,,a2,,
neither,,,,,a2,,
nervous,,,,,a2,,
net,,,,,a2,,
network,,,,,a2,,
noisy,,,,,a2,,
none,,,,,a2,,
noon,,,,,a2,,
normal,,,,,a2,,
normally,,,,,a2,,
notice,,,,,a2,,
noun,,,,,a2,,
novel,,,,,a2,,
nowadays,,,,,a2,,
nowhere,,,,,a2,,
nut,,,,,a2,,
oak,,,,,a2,,
occupation,,,,,a2,,
ocean,,,,,a2,,
offer,,,,,a2,,
official,,,,,a2,,
oil,,,,,a2,,
olive,,,,,a2,,
omelet,,,,,a2,,
onto,,,,,a2,,
operate,,,,,a2,,
opportunity,,,,,a2,,
oppose,,,,,a2,,
option,,,,,a2,,
ordinary,,,,,a2,,
organisation,,,,,a2,,
organise,,,,,a2,,
organize,,,,,a2,,
organized,,,,,a2,,
original,,,,,a2,,
orphan,,,,,a2,,
ourselves,,,,,a2,,
out,,,,,a2,,
oven,,,,,a2,,
overseas,,,,,a2,,
overweight,,,,,a2,,
pacific,,,,,a2,,
pack,,,,,a2,,
pain,,,,,a2,,
painter,,,,,a2,,
pal,,,,,a2,,
pan,,,,,a2,,
panic,,,,,a2,,
parking,,,,,a2,,
particular,,,,,a2,,
partly,,,,,a2,,
pass,,,,,a2,,
passage,,,,,a2,,
passenger,,,,,a2,,
pasta,,,,,a2,,
path,,,,,a2,,
patient,,,,,a2,,
pattern,,,,,a2,,
pea,,,,,a2,,
peaceful,,,,,a2,,
pear,,,,,a2,,
pence,,,,,a2,,
penfriend,,,,,a2,,
penny,,,,,a2,,
per,,,,,a2,,
per,,,,,a2,,
perfectly,,,,,a2,,
perform,,,,,a2,,
performance,,,,,a2,,
perfume,,,,,a2,,
perhaps,,,,,a2,,
permission,,,,,a2,,
personality,,,,,a2,,
petrol,,,,,a2,,
petrol,,,,,a2,,
photographer,,,,,a2,,
photography,,,,,a2,,
physical,,,,,a2,,
physically,,,,,a2,,
physics,,,,,a2,,
pile,,,,,a2,,
pilgrim,,,,,a2,,
pill,,,,,a2,,
pilot,,,,,a2,,
pity,,,,,a2,,
planet,,,,,a2,,
plastic,,,,,a2,,
plate,,,,,a2,,
platform,,,,,a2,,
playful,,,,,a2,,
playground,,,,,a2,,
pleasant,,,,,a2,,
pleased,,,,,a2,,
pleasing,,,,,a2,,
plenty,,,,,a2,,
plural,,,,,a2,,
plus,,,,,a2,,
police,,,,,a2,,
police,,,,,a2,,
policewoman,,,,,a2,,
polite,,,,,a2,,
political,,,,,a2,,
pollute,,,,,a2,,
population,,,,,a2,,
portrait,,,,,a2,,
position,,,,,a2,,
possession,,,,,a2,,
possibility,,,,,a2,,
possibly,,,,,a2,,
post,,,,,a2,,
pour,,,,,a2,,
power,,,,,a2,,
powerful,,,,,a2,,
precise,,,,,a2,,
predict,,,,,a2,,
prediction,,,,,a2,,
president,,,,,a2,,
pressure,,,,,a2,,
pretend,,,,,a2,,
prevent,,,,,a2,,
pride,,,,,a2,,
principal,,,,,a2,,
print,,,,,a2,,
printer,,,,,a2,,
prison,,,,,a2,,
private,,,,,a2,,
prize,,,,,a2,,
pro,,,,,a2,,
process,,,,,a2,,
produce,,,,,a2,,
production,,,,,a2,,
professional,,,,,a2,,
professor,,,,,a2,,
profile,,,,,a2,,
progress,,,,,a2,,
progressive,,,,,a2,,
promise,,,,,a2,,
pronounce,,,,,a2,,
pronunciation,,,,,a2,,
proper,,,,,a2,,
protect,,,,,a2,,
provide,,,,,a2,,
psychologist,,,,,a2,,
pub,,,,,a2,,
public,,,,,a2,,
publish,,,,,a2,,
pull,,,,,a2,,
punctuation,,,,,a2,,
purpose,,,,,a2,,
pursue,,,,,a2,,
quality,,,,,a2,,
quantity,,,,,a2,,
queen,,,,,a2,,
quietly,,,,,a2,,
quit,,,,,a2,,
quiz,,,,,a2,,
race,,,,,a2,,
racket,,,,,a2,,
railway,,,,,a2,,
raincoat,,,,,a2,,
raise,,,,,a2,,
range,,,,,a2,,
rap,,,,,a2,,
rate,,,,,a2,,
rather,,,,,a2,,
rating,,,,,a2,,
raw,,,,,a2,,
ray,,,,,a2,,
reach,,,,,a2,,
react,,,,,a2,,
realize,,,,,a2,,
realize,,,,,a2,,
receipt,,,,,a2,,
receive,,,,,a2,,
recent,,,,,a2,,
recently,,,,,a2,,
reception,,,,,a2,,
receptionist,,,,,a2,,
recipe,,,,,a2,,
recognise,,,,,a2,,
recommend,,,,,a2,,
record,,,,,a2,,
recording,,,,,a2,,
recycle,,,,,a2,,
reduce,,,,,a2,,
refer,,,,,a2,,
reflect,,,,,a2,,
refrigerator,,,,,a2,,
refuse,,,,,a2,,
region,,,,,a2,,
regret,,,,,a2,,
regular,,,,,a2,,
regularly,,,,,a2,,
relationship,,,,,a2,,
relaxed,,,,,a2,,
release,,,,,a2,,
remain,,,,,a2,,
remind,,,,,a2,,
remote,,,,,a2,,
remove,,,,,a2,,
rent,,,,,a2,,
repair,,,,,a2,,
replace,,,,,a2,,
reply,,,,,a2,,
represent,,,,,a2,,
request,,,,,a2,,
research,,,,,a2,,
researcher,,,,,a2,,
respond,,,,,a2,,
response,,,,,a2,,
rest,,,,,a2,,
retire,,,,,a2,,
retired,,,,,a2,,
reunion,,,,,a2,,
reveal,,,,,a2,,
rhythm,,,,,a2,,
right-hand,,,,,a2,,
rise,,,,,a2,,
roast,,,,,a2,,
rob,,,,,a2,,
robbery,,,,,a2,,
robin,,,,,a2,,
rock,,,,,a2,,
roll,,,,,a2,,
romance,,,,,a2,,
romantic,,,,,a2,,
roof,,,,,a2,,
root,,,,,a2,,
rope,,,,,a2,,
roughly,,,,,a2,,
round,,,,,a2,,
roundabout,,,,,a2,,
route,,,,,a2,,
royal,,,,,a2,,
rubbish,,,,,a2,,
rugby,,,,,a2,,
ruin,,,,,a2,,
rumor,,,,,a2,,
runner,,,,,a2,,
running,,,,,a2,,
rush,,,,,a2,,
sadly,,,,,a2,,
safe,,,,,a2,,
sail,,,,,a2,,
sailing,,,,,a2,,
sake,,,,,a2,,
salary,,,,,a2,,
sample,,,,,a2,,
sandy,,,,,a2,,
satisfy,,,,,a2,,
sauce,,,,,a2,,
sausage,,,,,a2,,
scale,,,,,a2,,
scared,,,,,a2,,
scarf,,,,,a2,,
scary,,,,,a2,,
scene,,,,,a2,,
scenery,,,,,a2,,
schedule,,,,,a2,,
schoolchild,,,,,a2,,
schoolwork,,,,,a2,,
scientific,,,,,a2,,
scissors,,,,,a2,,
score,,,,,a2,,
scream,,,,,a2,,
screen,,,,,a2,,
screw,,,,,a2,,
script,,,,,a2,,
seafood,,,,,a2,,
search,,,,,a2,,
seaside,,,,,a2,,
season,,,,,a2,,
second,,,,,a2,,
secondly,,,,,a2,,
secret,,,,,a2,,
secretary,,,,,a2,,
seed,,,,,a2,,
seek,,,,,a2,,
seem,,,,,a2,,
semester,,,,,a2,,
senior,,,,,a2,,
sense,,,,,a2,,
separate,,,,,a2,,
