term,votes,chosen
carpet,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
cash,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
cassette,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
castle,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Shopping
cause,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
celebrity,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Social
center,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Food
centimeter,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Numbers
cereal,"{""Social"": 3, ""Calendar & Time"": 1, ""Opinions & Communication"": 3}",Food
certain,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1, ""Travel"": 4, ""Food"": 4, ""Numbers & Quantities"": 1}",Food
chimpanzee,"{""Food"": 2, ""Opinions & Communication"": 1}",Food
chin,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
chip,"{""Food"": 2, ""Opinions & Communication"": 1}",Food
chirp,"{""Food"": 2, ""Opinions & Communication"": 1}",Activities
choice,"{""Food"": 2, ""Opinions & Communication"": 1}",Grammar
cigarette,"{""Food"": 2, ""Opinions & Communication"": 1}",Shopping
citizen,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
claim,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
classic,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
classical,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
classical,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
cleaner,"{""Food"": 2, ""Opinions & Communication"": 1}",Social
clear,"{""Food"": 2, ""Opinions & Communication"": 1}",Professional
comfortable,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Emotions
comic,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Social
comment,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Social
commitment,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Social
committee,"{""Feelings & Emotions"": 1, ""Opinions & Communication"": 1}",Professional
confident,"{""Calendar & Time"": 1, ""Opinions & Communication"": 2}",Social
contain,"{""Travel"": 4, ""Social"": 3}",Travel
container,"{""Travel"": 4, ""Social"": 3}",Shopping
context,"{""Travel"": 4, ""Social"": 3}",Social
continent,"{""Travel"": 4, ""Social"": 3}",Professional
criticize,"{""Opinions & Communication"": 3, ""Food"": 2}",Social
cross,"{""Opinions & Communication"": 3, ""Food"": 2}",Shopping
crowd,"{""Opinions & Communication"": 3, ""Food"": 2}",Professional
develop,"{""Food"": 8, ""Medical & Health"": 7, ""Opinions & Communication"": 6, ""Travel"": 4, ""Calendar & Time"": 2, ""Feelings & Emotions"": 1}",Food
developed,"{""Food"": 8, ""Medical & Health"": 7, ""Opinions & Communication"": 6, ""Travel"": 4, ""Calendar & Time"": 3, ""Feelings & Emotions"": 1}",Food
device,"{""Food"": 8, ""Medical & Health"": 7, ""Opinions & Communication"": 6, ""Travel"": 4, ""Calendar & Time"": 3, ""Feelings & Emotions"": 1}",Social
diamond,"{""Food"": 8, ""Medical & Health"": 7, ""Opinions & Communication"": 6, ""Travel"": 4, ""Calendar & Time"": 3, ""Feelings & Emotions"": 1}",Shopping
diary,"{""Food"": 8, ""Medical & Health"": 7, ""Opinions & Communication"": 6, ""Travel"": 4, ""Calendar & Time"": 3, ""Feelings & Emotions"": 1}",Social
direct,"{""Opinions & Communication"": 16, ""Social"": 3, ""Travel"": 17, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Numbers & Quantities"": 1, ""Food"": 2}",Travel
direction,"{""Opinions & Communication"": 16, ""Social"": 3, ""Travel"": 17, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Numbers & Quantities"": 1, ""Food"": 2}",Travel
director,"{""Opinions & Communication"": 16, ""Social"": 3, ""Travel"": 17, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Numbers & Quantities"": 1, ""Food"": 2}",Social
disadvantage,"{""Opinions & Communication"": 16, ""Social"": 3, ""Travel"": 17, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Numbers & Quantities"": 1, ""Food"": 2}",Abstract
disagree,"{""Opinions & Communication"": 16, ""Social"": 3, ""Travel"": 17, ""Calendar & Time"": 1, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Numbers & Quantities"": 1, ""Food"": 2}",Social
dust,"{""Travel"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Travel
earn,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
earring,"{""Travel"": 2, ""Calendar & Time"": 1}",Shopping
earth,"{""Travel"": 2, ""Calendar & Time"": 1}",Grammar
earthquake,"{""Travel"": 2, ""Calendar & Time"": 1}",Health
embarrassing,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Social
emergency,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Health
employ,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Health
employee,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Professional
employer,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Professional
empty,"{""Social"": 3, ""Events & Activities"": 1, ""Medical & Health"": 2, ""Opinions & Communication"": 1}",Shopping
encourage,"{""Social"": 3, ""Opinions & Communication"": 3}",Social
endangered,"{""Food"": 2, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1}",Social
ending,"{""Food"": 2, ""Opinions & Communication"": 3, ""Feelings & Emotions"": 1}",Numbers
enormous,"{""Travel"": 2, ""Numbers & Quantities"": 1}",Travel
enter,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Social
entertainment,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Activities
entrance,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Shopping
envelope,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Shopping
environment,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Professional
envy,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Emotions
episode,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Social
equipment,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Shopping
error,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Social
escalator,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Social
escape,"{""Travel"": 5, ""Food"": 2, ""Social"": 6, ""Events & Activities"": 1, ""Opinions & Communication"": 3}",Shopping
fairly,"{""Events & Activities"": 1, ""Food"": 2}",Food
familiar,"{""Events & Activities"": 1, ""Food"": 2}",Social
fancy,"{""Events & Activities"": 1, ""Food"": 2}",Grammar
fare,"{""Events & Activities"": 1, ""Food"": 2}",Food
farming,"{""Events & Activities"": 1, ""Food"": 2}",Activities
forbid,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Social"": 3}",Social
force,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Social"": 3}",Social
forest,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Social"": 3}",Professional
fried,"{""Food"": 2, ""Calendar & Time"": 1, ""Social"": 3}",Social
friendship,"{""Food"": 2, ""Calendar & Time"": 1, ""Social"": 3}",Social
frightened,"{""Feelings & Emotions"": 2, ""Travel"": 2, ""Numbers & Quantities"": 1}",Travel
frightening,"{""Feelings & Emotions"": 2, ""Travel"": 2, ""Numbers & Quantities"": 1}",Activities
fry,"{""Feelings & Emotions"": 2, ""Travel"": 2, ""Numbers & Quantities"": 1}",Social
fully,"{""Food"": 2, ""Numbers & Quantities"": 1}",Food
function,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
furniture,"{""Food"": 2, ""Numbers & Quantities"": 1}",Shopping
gentle,"{""Feelings & Emotions"": 1, ""Social"": 3, ""Food"": 2}",Social
given,"{""Feelings & Emotions"": 1, ""Social"": 3, ""Food"": 2}",Grammar
globe,"{""Feelings & Emotions"": 1, ""Social"": 3, ""Food"": 2}",Shopping
glove,"{""Feelings & Emotions"": 1, ""Social"": 3, ""Food"": 2}",Shopping
god,"{""Feelings & Emotions"": 1, ""Social"": 3, ""Food"": 2}",Social
golden,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 2}",Food
golf,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 2}",Activities
good-looking,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 2}",Social
government,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 2}",Grammar
grace,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 2}",Social
grilled,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Social
grocery,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Shopping
guard,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Social
guide,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Travel
guidebook,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Social
gun,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Social
half-price,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Shopping
ham,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Food
handbag,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Shopping
handicapped,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Professional
handle,"{""Opinions & Communication"": 3, ""Calendar & Time"": 1, ""Food"": 2}",Shopping
huge,"{""Food"": 2, ""Numbers & Quantities"": 1}",Food
human,"{""Travel"": 2, ""Opinions & Communication"": 1}",Travel
hunter,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
immediately,"{""Food"": 2, ""Calendar & Time"": 1}",Food
impact,"{""Food"": 2, ""Calendar & Time"": 1}",Activities
included,"{""Opinions & Communication"": 3, ""Social"": 3}",Social
including,"{""Opinions & Communication"": 3, ""Social"": 3}",Social
increase,"{""Opinions & Communication"": 3, ""Social"": 3}",Numbers
injure,"{""Medical & Health"": 3, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Health
injury,"{""Medical & Health"": 3, ""Feelings & Emotions"": 1, ""Travel"": 2, ""Events & Activities"": 1}",Health
intelligent,"{""Opinions & Communication"": 2, ""Feelings & Emotions"": 1}",Social
international,"{""Opinions & Communication"": 2, ""Feelings & Emotions"": 1}",Professional
introduction,"{""Opinions & Communication"": 2, ""Feelings & Emotions"": 1}",Social
invent,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Food
invention,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Grammar
invitation,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Social
invite,"{""Food"": 2, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 1}",Social
involve,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3}",Social
issue,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3}",Social
lively,"{""Events & Activities"": 2, ""Opinions & Communication"": 1, ""Travel"": 2, ""Calendar & Time"": 1}",Travel
load,"{""Events & Activities"": 2, ""Opinions & Communication"": 1, ""Travel"": 2, ""Calendar & Time"": 1}",Numbers
lock,"{""Events & Activities"": 2, ""Opinions & Communication"": 1, ""Travel"": 2, ""Calendar & Time"": 1}",Shopping
logical,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Opinions & Communication"": 1}",Numbers
loud,"{""Food"": 2, ""Travel"": 2, ""Events & Activities"": 1}",Food
marvelous,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Food
material,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Social
mathematics,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Grammar
maths,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Grammar
max,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Shopping
may,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Numbers
medal,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Social
media,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Social
medical,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Activities
melon,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Food
mention,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 1}",Social
missing,"{""Events & Activities"": 1, ""Opinions & Communication"": 6, ""Travel"": 5}",Social
mix,"{""Events & Activities"": 1, ""Opinions & Communication"": 6, ""Travel"": 5}",Food
mood,"{""Events & Activities"": 1, ""Opinions & Communication"": 6, ""Travel"": 5}",Health
mosque,"{""Events & Activities"": 1, ""Opinions & Communication"": 6, ""Travel"": 5}",Shopping
mysterious,"{""Travel"": 2, ""Opinions & Communication"": 1}",Travel
mystery,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
napkin,"{""Travel"": 2, ""Opinions & Communication"": 1}",Shopping
narrow,"{""Travel"": 2, ""Opinions & Communication"": 1}",Home
nation,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
national,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
native,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
nature,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
nearly,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
necessary,"{""Travel"": 2, ""Calendar & Time"": 1}",Home
operate,"{""Social"": 3, ""Travel"": 4, ""Numbers & Quantities"": 1, ""Medical & Health"": 5, ""Food"": 2}",Health
opportunity,"{""Social"": 3, ""Travel"": 4, ""Numbers & Quantities"": 1, ""Medical & Health"": 5, ""Food"": 2}",Health
perform,"{""Travel"": 6, ""Medical & Health"": 2, ""Social"": 6, ""Food"": 2}",Social
performance,"{""Travel"": 6, ""Medical & Health"": 2, ""Social"": 6, ""Food"": 2}",Social
perfume,"{""Travel"": 6, ""Medical & Health"": 2, ""Social"": 6, ""Food"": 2}",Grammar
physical,"{""Travel"": 2, ""Events & Activities"": 1}",Travel
pleased,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Emotions
pleasing,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Activities
plenty,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Numbers
plural,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Social
plus,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Abstract
police,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Professional
police,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Professional
policewoman,"{""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1}",Social
political,"{""Opinions & Communication"": 1, ""Travel"": 2}",Travel
proper,"{""Food"": 2, ""Medical & Health"": 2}",Food
protect,"{""Food"": 2, ""Medical & Health"": 2}",Food
provide,"{""Food"": 7, ""Opinions & Communication"": 3, ""Social"": 3, ""Travel"": 6, ""Calendar & Time"": 2, ""Numbers & Quantities"": 1}",Food
psychologist,"{""Food"": 7, ""Opinions & Communication"": 3, ""Social"": 3, ""Travel"": 6, ""Calendar & Time"": 2, ""Numbers & Quantities"": 1}",Professional
pub,"{""Food"": 7, ""Opinions & Communication"": 3, ""Social"": 3, ""Travel"": 6, ""Calendar & Time"": 2, ""Numbers & Quantities"": 1}",Shopping
public,"{""Food"": 7, ""Opinions & Communication"": 3, ""Social"": 3, ""Travel"": 6, ""Calendar & Time"": 2, ""Numbers & Quantities"": 1}",Professional
publish,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Food"": 2}",Social
pull,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Food"": 2}",Shopping
punctuation,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Food"": 2}",Social
purpose,"{""Opinions & Communication"": 3, ""Travel"": 2, ""Food"": 2}",Grammar
quietly,"{""Travel"": 2, ""Opinions & Communication"": 1, ""Events & Activities"": 1}",Travel
quit,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Social
quiz,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Social
race,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Shopping
racket,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Grammar
railway,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Shopping
raincoat,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Shopping
raise,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Abstract
range,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Grammar
rap,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Social
rate,"{""Events & Activities"": 1, ""Social"": 3, ""Calendar & Time"": 2, ""Travel"": 3, ""Food"": 2}",Numbers
rather,"{""Food"": 2, ""Events & Activities"": 1}",Food
rating,"{""Food"": 2, ""Events & Activities"": 1}",Grammar
raw,"{""Food"": 2, ""Events & Activities"": 1}",Health
ray,"{""Food"": 2, ""Events & Activities"": 1}",Social
reach,"{""Food"": 2, ""Events & Activities"": 1}",Grammar
react,"{""Opinions & Communication"": 4, ""Social"": 3}",Social
recently,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Emotions
reception,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
receptionist,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Professional
recipe,"{""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
recycle,"{""Travel"": 5, ""Food"": 5}",Food
refuse,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Social"": 3}",Social
region,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Social"": 3}",Numbers
regret,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Social"": 3}",Emotions
regular,"{""Travel"": 2, ""Food"": 2, ""Opinions & Communication"": 3, ""Medical & Health"": 2, ""Social"": 3}",Social
remain,"{""Food"": 2, ""Calendar & Time"": 1, ""Travel"": 2}",Food
replace,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Social
reply,"{""Calendar & Time"": 1, ""Social"": 3, ""Food"": 2}",Social
roughly,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Food
round,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Food
roundabout,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Shopping
route,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Shopping
royal,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Shopping
rubbish,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Social
rugby,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Activities
ruin,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Shopping
rumor,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Social
runner,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Social
running,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Health
rush,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Food"": 2}",Social
scary,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Travel
scene,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Social
scenery,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Shopping
schedule,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Travel
schoolchild,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Social
schoolwork,"{""Travel"": 2, ""Feelings & Emotions"": 1}",Activities
soft,"{""Numbers & Quantities"": 1, ""Opinions & Communication"": 1, ""Travel"": 2, ""Calendar & Time"": 2}",Travel
soft,"{""Numbers & Quantities"": 1, ""Opinions & Communication"": 1, ""Travel"": 2, ""Calendar & Time"": 2}",Travel
softly,"{""Travel"": 2, ""Opinions & Communication"": 1}",Travel
software,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
soldier,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
solution,"{""Travel"": 2, ""Opinions & Communication"": 1}",Social
surprising,"{""Opinions & Communication"": 3, ""Social"": 3, ""Numbers & Quantities"": 1}",Social
survive,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Numbers
swallow,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Food
sweat,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Health
sweetheart,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Social
swimming,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Activities
swimsuit,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Shopping
symbol,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Social
symphony,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Social
system,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Grammar
table,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Food
tablespoon,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Numbers
tablet,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Health
talent,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Social
tap,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Shopping
tape,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Shopping
target,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Social
task,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Professional
taste,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Food
teaching,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Grammar
tear,"{""Travel"": 2, ""Food"": 2, ""Calendar & Time"": 3}",Health
typical,"{""Travel"": 2, ""Medical & Health"": 2, ""Calendar & Time"": 1, ""Food"": 2}",Food
uncomfortable,"{""Food"": 2, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Food
underground,"{""Food"": 2, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Shopping
understanding,"{""Food"": 2, ""Feelings & Emotions"": 1, ""Calendar & Time"": 1}",Social
uneasy,"{""Feelings & Emotions"": 1, ""Travel"": 2}",Travel
usual,"{""Food"": 2, ""Calendar & Time"": 1}",Food
valley,"{""Food"": 2, ""Calendar & Time"": 1}",Home
value,"{""Food"": 2, ""Calendar & Time"": 1}",Numbers
van,"{""Food"": 2, ""Calendar & Time"": 1}",Shopping
variety,"{""Food"": 2, ""Calendar & Time"": 1}",Social
vehicle,"{""Food"": 2, ""Calendar & Time"": 1}",Social
verb,"{""Food"": 2, ""Calendar & Time"": 1}",Social
video,"{""Food"": 2, ""Calendar & Time"": 1}",Social
view,"{""Food"": 2, ""Calendar & Time"": 1}",Social
weak,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Numbers
wealth,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Shopping
web,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Shopping
web,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Shopping
wedding,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Activities
weekday,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Numbers
weekly,"{""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
weigh,"{""Numbers & Quantities"": 2, ""Opinions & Communication"": 3, ""Travel"": 2}",Social
weight,"{""Numbers & Quantities"": 2, ""Opinions & Communication"": 3, ""Travel"": 2}",Numbers
whatever,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
wheelchair,"{""Travel"": 2, ""Calendar & Time"": 1}",Shopping
while,"{""Travel"": 2, ""Calendar & Time"": 1}",Numbers
whole,"{""Travel"": 2, ""Calendar & Time"": 1}",Grammar
windy,"{""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Food
winner,"{""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
wisdom,"{""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
wise,"{""Food"": 2, ""Calendar & Time"": 1, ""Opinions & Communication"": 1}",Social
worldwide,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
worried,"{""Travel"": 2, ""Calendar & Time"": 1}",Emotions
worse,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
worst,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
wow,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
youth,"{""Travel"": 2, ""Calendar & Time"": 1}",Numbers
zero,"{""Travel"": 2, ""Calendar & Time"": 1}",Numbers
zone,"{""Travel"": 2, ""Calendar & Time"": 1}",Professional
atlantic,"{""Travel"": 2, ""Calendar & Time"": 1}",Home
cd-rom,"{""Travel"": 2, ""Calendar & Time"": 1}",Shopping
cv,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
christian,"{""Travel"": 2, ""Calendar & Time"": 1}",Professional
dj,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
englishman,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
hiv,"{""Travel"": 2, ""Calendar & Time"": 1}",Health
mediterranean,"{""Travel"": 2, ""Calendar & Time"": 1}",Home
abandon,"{""Travel"": 2, ""Calendar & Time"": 1}",Emotions
aboard,"{""Travel"": 2, ""Calendar & Time"": 2}",Travel
aborigine,"{""Travel"": 2, ""Calendar & Time"": 2}",Social
absence,"{""Travel"": 2, ""Calendar & Time"": 2}",Numbers
abundant,"{""Food"": 2, ""Numbers & Quantities"": 1}",Food
academic,"{""Food"": 2, ""Numbers & Quantities"": 1}",Social
